Question,Answer,,,,
경영관 건물 번호 뭐임??,33,,,,
인문관은 건물 번호가 뭔가요?,31로 시작합니다,,,,
학교 편의점 어디어디에 있나용,경영관 지하3층,,,,
기숙사 주차 기숙사 입사하는 동안은 주차권 받을 수 있나요?,네 경비실에서 주차권 줍니다,,,,
3연강 힘든가요?,시험볼때 좀 힘들어요,,,,
중도 1층 어떻게 발권해?,학술정보관 앱 다운로드 하셈,,,,
4연강 많이 힘든가요?,힘들어요 밥 먹을 시간도 없음,,,,
족보는 어디서 구하나요? ,선배 찬스 아니면 에타 족보게시판,,,,
경영관에서 수선관 연강 가능한가요?,엘리베이터 잘 타면 가능합니다,,,,
경제관 3층이랑 경영관 몇층이랑 연결됨?,5층 ,,,,
편도 2시간 통학 어때요,너무 힘들 것 같은데요,,,,
수강신청 시간 8시야 10시야 TO 통합은 또 뭐야,아침 10시,,,,
기숙사 신청 3차도 있나요?,아니요,,,,
새내기 등록금 납부 어떻게 하나요?,GLS 보거나 입학처 홈페이지에 등록금 고지서 있음,,,,
기숙사는 예비 없나요,네 2차 노리셔야 해요,,,,
인과계인데 전공진입하려면 필수과목 뭔가요,"영발 영쓰랑 의사소통 2과목 기인사 3과목이랑 FYE, DS과목",,,,
"기숙사 1, 2차 신청 차이가 뭔가요?",1차때 남은 자리 2차로 넘겨요,,,,
G하에서 학교까지 얼마나 걸리나요?,정문까지 한 20분 정도 걸려요,,,,
명륜은 기숙사 떨어질 확률 높나요?,네 경쟁률 높아요,,,,
기숙사 외박 신청 무조건 해야 하나요?,굳이 안 해도 돼,,,,
교환학생 많이들 가시나요?,문과는 많이들 갑니다,,,,
전공진입할때 F 받으면 재수강해서 성적 올려도 기록 남아요?,네 졸업할 때는 안 남는데 전공진입할 때는 남음,,,,
수선관 가려면 셔틀 어디서 내려야 해요?,농구장에서 내리면 됩니다 종점이에요,,,,
경제관 2층이랑 경영관 몇 층이랑 연결되어 있나요,4층이요,,,,
수강신청 시간 8시야 10시야 TO 통합은 또 뭐야,10시 입니당,,,,
MT는 어떻게 가나요?,LC임? LC면 피리가 주도해서 감,,,,
농활은 어떻게 가나요?,엘씨끼리 가거나 과에서 가기도 함,,,,
"각자 과가 다르면 아예 전공 과목은 같이 들을  없나요??
교양 과목은요?","cl이 되면 될거고 아니어도 비전공인가 머시기 티오로 들어가서 될걸
교양이야 뭐 아무 문제없고",,,,
